DISEASES_spacy,DRUGS_spacy,DISEASES_BERT,DRUGS_BERT
liver disease,,,
renal anemia,,,
hemolysis,,,
liver disease iron,,,
anemia,,,
chronic disease,,,
thrombocytopenia,heparin,,
splenomegaly,lantus,,
chronic liver disease,,,
hypoglycemia,,,
dislocation,pantoprazole,,
,acetaminophen,,
,metoprolol tartrate,,
,warfarin,,
,calcium carbonate,,
,hydromorphone,,
,senna,,
,bisacodyl,,
,sevelamer,,
nosis,,,
seizure,,,
liver failure,,,
fracture,,,
atrial fibrillation,,,
stenosis,,,
coronary artery disease,,,
dyspnea,,,
fatigue,,,
dizziness,,,
thrombus,,,
transverse thoracic aorta,,,
atherosclerotic,phenylephrine,,
atheroma,,,
aortic valve stenosis,,,
aortic regurgitation,,,
pericardial effusion,,,
aortic insufficiency,,,
pneumothorax,,,
pleural effusion,,,
retrocardiac atelectasis,,,
opacities,glucose,,
pneumonia,creat na,,
overinflation,glucose,,
,creat na,,
,nitrite,,
,glucose,,
,ketone,,
atrial fibrillation,coumadin,,
,heparin,,
,metoprolol,,
,coumadin,,
,ibuprofen,,
,digoxin,,
,coumadin,,
aortic stenosis,atenolol,,
coronary artery disease s p coronary artery bypass,digoxin,,
gastroesophageal reflux disease,,,
erectile dysfunction,,,
hernia,,,
chronic pain,baclofen,,
low back and,fentanyl,,
torticollis,methadone,,
nodding,diazepam methadone,,
atelectasis,baclofen,,
,ammonia,,
,benzo,,
,methadone,,
,cocaine,,
chronic pain,methadone,,
low back and,narcan,,
torticollis,,,
respiratory depression,,,
substance abuse overdose,,,
eness,diazepam,,
,valium,,
,neurontin lamictal seroquel,,
psychiatric,lamictal,,
polysubstance abuse,seroquel,,
anxiety,,,
respiratory depression,quetiapine fumarate,,
,qhs,,
,pantoprazole sodium,,
,gabapentin,,
,lamictal,,
atus substance,pda,,
overdose,,,
torticollis,,,
substance abuse depression,,,
crf,,,
chest pain,nitro,,
diaphoresis,nitro,,
bleed,morphine,,
,heparin,,
,aspirin,,
,morphine,,
,glucose urea,,
,creat sodium potassium chloride,,
,pda,,
,pda,,
thrombus,,,
coronary artery disease,,,
occlusion,,,
thrombus,pda,,
depressed basal inferior hypokinesis,,,
aortic valve stenosis,,,
pulmonary artery systolic,,,
atelectatic,,,
ileus stool distended rectum small infrarenal,,,
abdominal aortic aneurysm,,,
unstable angina,,,
occlusion,,,
thrombus,plavix,,
nstemi,morphine,,
bleed,,,
ischemia,,,
pain,,,
pain,,,
ischemia,,,
hypotension,,,
nsvt,,,
hypotension,,,
sepsis,,,
pain,,,
pneumonia,,,
infection,,,
cardiogenic shock,,,
blood transfusions,,,
coagulopathy,,,
chest pain,plavix,,
sinus tachycardia nsvt cardiogenic shock coagulopathy obstipation nstemi esrd discharge 41071,quinine,,
,qid,,
,mirtazapine,,
,qhs,,
,protonix,,
,morphine,,
,nitro,,
heart failure,dm obseity,,
fatigue,,,
dyspnea,,,
dyspnea,,,
dyspnea,lasix,,
bowel movements,spironolactone,,
crampy abdominal pain,nitro,,
dyspneic,,,
chest pain,,,
chest pain,nitroglycerin,,
chest pain,nitroglycerin,,
,nitro,,
,calcium,,
,insulin,,
,kayexalate,,
pain,nitroglycerin,,
pain,morphine,,
chest pain,morphine,,
pain,nitro,,
depressions,,,
pain,nitroglycerin,,
pylori,glucose,,
,creat na,,
,calcium,,
pylori,glucose,,
atelectasis,creat na,,
effusion,calcium,,
nodular gastritis,,,
retroperitoneal bleed,,,
liver cholelithiasis,,,
right renal cyst,,,
hemorrhoids diverticulosis,,,
heart failure,coumadin,,
fatigue,dm obseity,,
dyspnea,,,
bleed,,,
chest pain,,,
ischemia,,,
bleed,,,
coronary vascular disease,,,
angina,,,
chest pain,heparin,,
hypotension,coumadin,,
bleeding,aspirin plavix,,
chest pain,ranolazine,,
chest pain,metoprolol,,
pylori nodular gastritis,tartrate,,
nodular gastritis,erosions,,
pylori,amoxicillin,,
,clarithromycin,,
,ranolazine metronidazole,,
,pantoprazole coumadin,,
,vitamin k,,
bleeding,heparin,,
bleeding,coumadin,,
bleed,heparin,,
,pantoprazole,,
blood loss anemia,coumadin,,
gastritis,vitamin k,,
,coumadin,,
,heparin,,
,bilirubin,,
hemolysis,heparin,,
constipation,coumadin,,
constipation acute,lasix,,
systolic heart failure,spironolactone,,
pulmonary edema,,,
orthostatic hypotension,lasix,,
hyperkalemia,lasix,,
,spironolactone,,
,lisinopril,,
,potassium,,
,potassium,,
acute coronary syndrome lbbb resolved after correction of k acute renal failure,spironolactone,,
leukocytosis,lisinopril,,
,creatinine,,
infectious colitis,atorvastatin depression,,
infection,venlafaxine,,
hyperkalemia,spironolactone,,
,coumadin,,
gastritis,aspirin,,
stroke,plavix,,
hyperkalemia,lisinopril,,
pylori,uptitrate,,
hypoglycemia,metoprolol,,
,tartrate,,
,pcp,,
diabetes,furosemide,,
,aspirin,,
,nitroglycerin,,
,furosemide,,
,lisinopril,,
,atorvastatin,,
,metformin,,
,venlafaxine,,
,warfarin,,
,pantoprazole,,
unstable angina,ranolazine,,
pylori nodular gastritis,clopidogrel,,
erosions blood loss anemia,isosorbide mononitrate,,
coronary artery disease atrial fibrillation,metoprolol succinate,,
,spironolactone,,
alcohol abuse,,,
htn,,,
pain,,,
pain,,,
pancreatitis,levaquin,,
lethargy,bilirubin,,
pain,levaquin,,
cardiomegaly,primaxin,,
pancreatitis,lasix,,
intrahepatic ductal dilatation,,,
chest pain,ativan,,
,ativan,,
,ativan,,
pulseless,amiodarone,,
asystolic,dopamine,,
hypotensive,,,
renal failure creatinine,,,
renal failure,,,
ascites,,,
gallstone,,,
intrahepatic biliary ductal dilatation,,,
hepatitis,calcium,,
,bili,,
totbili am blood lipase am blood ck mb ctropnt micro,glucose,,
ascites,creat na,,
gallstone,,,
edema,,,
cholecystitis,,,
pancreatitis,,,
intrahepatic or extrahepatic biliary dilatation,,,
hypoxia,,,
infarction,,,
hepatic or renal failure,,,
infarction,,,
hemorrhage,,,
infarction,,,
alcohol abuse,,,
pancreatitis,,,
cardiac arrest,,,
pancreatitis acute renal failure,,,
anemia,,,
depressed,amlodipine,,
cardiac arrest necrotizing pancreatitis alcohol abuse renal failure,levothyroxine sodium,,
,lisinopril,,
distress syndrome,,,
cholecystitis,,,
fatigue,,,
pain,,,
chills,,,
cholecytitis,lasix,,
lower extremity edema,,,
dyspnea,,,
chest pain,,,
sweats,azithromycin,,
headache,ceftriaxone,,
sinus tenderness rhinorrhea,unasyn,,
congestion,lactate,,
wheezing,,,
pain,glucose urea,,
nausea vomiting diarrhea constipation,creat sodium potassium chloride,,
abdominal pain,calcium phosphate magnesium,,
dysuria,urea,,
arthralgias,creat sodium potassium chloride,,
myalgias,osmolal,,
rashes,,,
,glucose urea,,
,creat sodium potassium chloride,,
,calcium phosphate,,
,caltibc vit,,
,folate,,
,lactate,,
,lactate,,
atrial fibrillation systolic heart failure,,,
cholecystitis,,,
cholecystitis,,,
delirium,,,
pulmonary edema,,,
cholecystitis,,,
pain,,,
nausea,,,
fatigue,,,
bilious,vancomycin,,
,ciprofloxacin,,
,ciprofloxacin,,
,metronidazole,,
congestive heart failure,vancomycin,,
dyspneic,,,
lower lobe pneumonia,,,
pulmonary edema,,,
injury his pulmonary edema,lasix,,
ventricular hypertrophy,lasix,,
systolic dysfunction,lisinopril,,
cough,aspirin,,
pneumonia,oxygen,,
urinary tract infection,ciprofloxacin,,
infection,,,
infection atrial fibrillation,,,
ventricular tachycardia,aspirin,,
nsvt,metoprolol,,
delirium,domperidone,,
delirium,,,
infection,,,
dementia,,,
delirium,ents,,
chronic kidney disease,furosemide,,
hypertension,amlodipine,,
,lisinopril,,
,hydralazine,,
hypothyroid,levothyroxine vitamin d,,
depression,vitamin d dyslipidemia,,
prostatic hypertrophy,tylenol,,
pain,gabapentin insomnia,,
,ranitidine,,
,nexium,,
,ciprofloxacin,,
,metronidazole,,
,lasix,,
,lisinopril,,
,tylenol,,
,furosemide,,
,amlodipine,,
,bupropion,,
,calcitriol,,
,domperidone,,
,gabapentin,,
,eszopiclone,,
,gabapentin,,
,hydralazine,,
,levothyroxine,,
,metoprolol succinate,,
acute cholecystitis urinary tract infection atrial fibrillation decompensated systolic heart failure hypertension chronic kidney disease,ranitidine,,
V1588,rosuvastatin,,
,tamsulosin,,
,vitamin d b mcg,,
copd esophageal stricture s p dilatation,,,
dizziness,,,
chest pain,,,
pain,oxygen,,
cataracts,,,
cough,,,
fevers sweats,,,
leukocytosis,lactate,,
bandemia,levofloxacin,,
hypoxia lactic acidosis,ceftriaxone,,
leukocytosis,potassium,,
acute renal failure,,,
fracture,,,
bleed,,,
pneumonia,,,
hypoxia,,,
bandemia,,,
chest pain,,,
dysuria,,,
hematuria,,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,calcium,,
,iron,,
,calcium,,
,lactate,,
,lactate,,
,nitrite,,
,glucose,,
,nitrite,,
,glucose,,
,ketone,,
clostridium difficile,,,
clostridium difficile,,,
pneumoniae,,,
pneumoniae,,,
meningitis penicillin,penicillin,,
,ceftriaxone,,
,ceftriaxone,,
,penicillin,,
lower lobe pneumonia,penicillin,,
,tetracycline,,
,trimethoprim sulfa,,
,vancomycin,,
lower lobe pneumonia,,,
sinus tachycardia,,,
atrial abnormality,,,
sinus tachycardia,,,
hemorrhage edema mass,,,
infarction,,,
white matter hypodensity,,,
sequelae of small vessel ischemic disease,,,
atrophy,,,
atrophy,,,
sequelae of small vessel ischemic disease,,,
hemorrhage edema mass,,,
infarction,,,
fracture,,,
malalignment,,,
multifocal cervical spondylosis,,,
canal stenosis,,,
pneumonia,,,
atelectasis,,,
pleural effusions boarderline enlarged mediastinal lymph nodes likely reactive,,,
pneumonia,,,
pleural effusion,,,
pleural effusion,,,
,ise,,
mitral regurgitation,,,
mitral valve prolapse,,,
pericardial effusion,,,
pneumonia,,,
pleural effusion,,,
consolidations,,,
effusions,,,
copd and esophageal stricture s p dilatation,,,
sepsis,,,
bacteremia,levofloxacin,,
fever,oxygen,,
microcytic anemia,,,
sepsis,,,
fever,,,
cavitations,,,
sepsis,,,
bacteremia strep,vancomycin,,
leukocytosis,,,
fever,,,
empyema,,,
strep,,,
wheezing,ipratropium,,
fever,albuterol,,
newe,vanco,,
strep,cefpodoxime,,
,flagyl,,
,levofloxacin,,
copd leukocytosis,tiotropium,,
pulmonary infection,tte,,
loose stools,vanco,,
diarrhea,,,
bacteremia,,,
anemia microcytic,vanco,,
anemia,flagyl,,
,iron,,
,iron,,
bleed,pcp,,
hemolysis anemia,,,
defficiency,,,
colitis,,,
inflammation,,,
ischemia,,,
renal failure,troponins,,
ptsd,,,
depression,,,
delerium,,,
dementia,quetiapine,,
atrophy,duloxetine,,
white matter disease,ativan,,
delirium,qhs,,
delerium,,,
infection,oxygen,,
bleeding,,,
fractures,,,
esophageal stricture,,,
sepsis,citalopram,,
,lorazepam,,
,qid,,
,qhs pantoprazole,,
,quetiapine,,
,qhs,,
,duloxetine,,
,qhs albuterol,,
,mesalamine,,
,ondansetron,,
,aspirin,,
pneumonia,heparin,,
copd,,,
esophageal stricture anemia ptsd,,,
headache,,,
intracranial bleed,,,
vertebrobasilar aneurysm,,,
hypotension,plavix heparin,,
depr,vit,,
,protonix,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
hypotension,plavix heparin,,
,vit,,
,protonix,,
depr,,,
htn,,,
intracranial bleed,,,
hyponatremia,,,
lv systolic dysfunction,,,
wheezing,,,
cyanosis,,,
pain,,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,coumadin,,
,vit,,
,coumadin,,
ulcer,epinephrine,,
bleeding,plavix,,
intracranial bleed,,,
bleeding,coumadin,,
bleeding,lovenox,,
depressions,epinephrine,,
sinus tachycardia,diltiazem,,
,diltiazem,,
bleed,coumadin,,
intracranial bleed,dalteparin,,
thrombotic,coumadin,,
,lovenox,,
fluid overload,vancomycin,,
effusion,vancomycin,,
pneumonia,protonix qd senna,,
,amantidine,,
,coumadin,,
,dalteparin,,
esophageal bleed,,,
intracranial bleed,,,
vertebrobasilar aneurysm,,,
pulmonary embolism,,,
redness,,,
dyspnea,,,
respiratory distress,fentanyl,,
reduction of blood pressure,,,
respiratory complaints,,,
cough,,,
infection,,,
,na,,
,bicarb,,
,glucose,,
,creat na,,
,calcium,,
,lactate,,
,oxacillin,,
,staphylococci,,
,penicillins cephalosporins carbacephems carbapenems,,
,rifampin,,
,clindamycin,,
,erythromycin,,
,gentamicin,,
,levofloxacin,,
,nitrofurantoin,,
,oxacillin,,
,penicillin,,
,rifampin,,
,tetracycline,,
,vancomycin,,
,cocci,,
,oxacillin,,
,staphylococci,,
,penicillins cephalos,,
ventricular hypertrophy,porins carbacephems carbapenems,,
,rifampin,,
,clindamycin,,
,erythromycin,,
,gentamicin,,
,levofloxacin,,
,nitrofurantoin,,
,oxacillin,,
,penicillin,,
,rifampin,,
,tetracycline,,
,vancomycin,,
left ventricular systolic function,,,
aortic regurgitation,,,
mitral regurgitation,,,
pericardial effusion,,,
atrial fibrillation,,,
atrial fibrillation,,,
opacification,,,
effusion,,,
opacity,,,
volume loss,cholesterol,,
renal disease,hypercarbic resp failure,,
kidney stone,,,
repiratory failure,vancomycin,,
pneumonia,vancom,,
pneumonia,,,
pneumonia,ycin,,
renal failure,cefepime,,
lung colapse,,,
atrial fibrillation,,,
melena,amiodarone,,
bleeding,heparin,,
,heparin,,
,heparin,,
stroke,cortisol,,
hypotension,benzodiazepines,,
hypotensive,,,
hypotension,,,
delerium,benzodiazepines,,
agitation,asessed,,
allergy,,,
diaphragmatic weakness,,,
thoracic sur,,,
hyponatremia,sodium,,
hyponatremic,,,
hypovolemic,,,
diarrhea,,,
abdominal pain,,,
fever,flagyl,,
febrile,na,,
diarrhea,,,
hypernatremia,,,
conjunctivitis,,,
conjunctivitis,,,
erythema,erythromycin,,
burns,aspirin,,
infection,creatinine,,
euvolemic renal failure,,,
constipation,cefepime,,
,nephrotoxins,,
,creatinine,,
,heparin protonix,,
amiotrophic lateral sclerosis hypercarbic respiratory failure,,,
atrial fibrillation,,,
pneumonia,,,
pneumonia renal failure,,,
breast cancer htn,V46,,
shortness of breath,,,
dyspnea,,,
cough,,,
palpitations,,,
dyspnea,,,
atrial fibrillation,levofloxacin,,
pneumonia,diltiazem,,
totbili pm blood ck,glucose,,
,creat na,,
breast cancer htn,amiodarone,,
pneumonia,amiodarone,,
pneumonia,,,
fibrillation,,,
dyspnea,levofloxacin,,
palpitations,,,
pneumonia,,,
loss of sinus rhythm,,,
cough,,,
atrial fibrillation,pantoprazole,,
pneumonia,amiodarone,,
breast cancer stage,metoprolol,,
,warfarin,,
,amiodarone,,
,tamoxifen,,
hypertension hyperlipidemia,pda,,
htn iddm,,,
shortness of breath,,,
chest pain,,,
rest angina,,,
chest pain,,,
vessel disease,,,
stenosis,,,
,glucose urea,,
,creat sodium potassium chloride,,
,calcium phosphate magnesium,,
,glucose urea,,
,creat sodium potassium chloride,,
ronary artery disease,,,
stenosis,,,
stenosis,,,
stenosis,,,
stenosis,,,
ostial stenosis,,,
calcification,,,
stenosis,,,
stenosis,,,
stenosis,,,
stenosis,,,
left subclavian stenosis,,,
renal insufficency,,,
hypertension,,,
diastolic dysfunction,,,
vessel coronary artery disease,,,
diastolic ventricular dysfunction,,,
ventricular ectopy,,,
shortness of breath,,,
chest pain,,,
hematoma,reopro,,
chest pain,,,
hematoma,argatroban,,
chest pain,argatroban,,
chest pain,nitro,,
,isosorbide,,
,argatroban,,
chest pain,aspirin plavix statin,,
chest pain,toprol,,
systolic heart failure,lasix,,
bradycardia,glyburide,,
diabetes,creatinine,,
hematuria,,,
traumatic,,,
hematuria,,,
thrombocytopenia,,,
thrombocytopenia,,,
anemia,heparin,,
hematoma,neurontin,,
sciatica,,,
htn iddm copd,nexium,,
thrombocytopenia,toprol,,
,neurontin,,
,qhs lasix,,
,glyburide,,
,iron,,
pulmonary edema,trops,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
thrombus,,,
regional lv systolic dysfunction,,,
depressed lvef right ventricle normal rv chamber size and free wall motion aorta,,,
calcifications,,,
dilated ascending aorta,,,
atheroma,,,
atheroma,,,
mitral annular calcification,,,
pulmonic valve pulmonary artery pulmonic,,,
pericardial effusion,,,
akinetic,,,
atrial septal defect,,,
left ventricular hypertrophy,,,
left ventricular systolic dysfunction of the inferior septal and anterior walls overall left ventricular systolic function,,,
